"id","sentence"
1,"He added that people should not mess with mother nature , and let sharks be ."
2,"The Great Britain team bus will trundle along the Via dei Gladiatori in Rome tomorrow morning deliver two battlers to the arena that is the World Championship venue ."
3,"Investment return and principal value of an investment in a variable annuity will fluctuate , so units , when redeemed , may be worth more or less than their cost ."
4,"The 's bloody body was discovered on a bed ."
5,"Her adds that most Americans "" want to be seen in their big house with a big car . """
6,"Michael Jackson could be forced to fly to the High Court in London to testify in a case being brought against him the King of Bahrain 's son ."
7,"The Wizards recovered from a 4-9 start season , and several of the team 's key players have been around long enough to know that a bad start does not necessarily lead to a bad finish ."
8,""" People fears appear to be racing ahead of reality now ."
9,"Most other visitors are flummoxed -- one neuroscientist who came here for an interview described them as a "" cognitive . """
10,"During the first quarter of 2009 certain of the Company 's CMBS collateral interests in each of its four CDOs were classified as impaired interests due to rating agency downgrades ."
11,""" This is just the latest example of the government 's efforts frustrate counsel access to detainees , "" he said ."
12,"The wide range of merchandise includes apparel for all ages , accessories , footwear , home decor , gifts , designer fragrances , jewelry , bedding and bath , accent furniture and toys ."
13,"GREEN BAY , . - If Brett Favre really did leak inside information about the Green Bay Packers ' offense to help the Detroit Lions beat his former team last month , the three-time MVP 's reputation among his fans in Wisconsin would likely take a hit ."
14,"CHICAGO ( Reuters ) - Americans are more likely than people in 10 other countries to have trouble getting medical treatment of insurance restrictions or cost , an international survey of primary care doctors released on Wednesday found ."
15,"Indeed , studies are already underway attempt to germinate real ancient seeds from the Yukon permafrost , he says ."
16,"While Olson spent 24 years as a doctor 's wife raising three daughters , Kilgore became University of Cape Town professor , writing one of South Africa 's most popular high school history books , "" Making History , "" under his alias of Charles William Pape ."
17,"On the opening of the trial , Mr. Taylor stayed in his cell ."
18,"A profit , after years of losses , would be critical to GM 's ability to float a stock offering to repay some of the $ 52-billion investment and loans the federal government has poured into the company over the last year ."
19,"Dyer had not played the quarter and was growing frustrated ."
20,"The man said items looted during the pogrom known Kristallnacht , or "" Night of Broken Glass , "" were disposed of there ."
21,"As in domestic policy , the administration must do what it with tools it has ."
22,""" Grace is Gone "" also was important the actor due to his work as producer , which is often a title given to actors to lure them to roles when they do not work beyond acting ."
23,"Michael described Sarah to a at the shelter ."
24,"Get used to the movement and feeling of changing the on clay , "" he said ."
25,"Queiroz enjoys a close relationship with the Portugal international , who , having made clear his intention to move to Real Madrid and indicated that he is prepared to "" upset "" Ferguson and others at the club to get the move he wants , may feel that he has even reason to stay at Old Trafford if the assistant manager leaves ."
26,"President , believe it or not , owes quite a bit to actor Josh Brolin ."
27,"The investment does not include security ."
28,"Fears of lead poisoning began to spread among villagers in early July when many children became susceptible to colds suffered fevers and other ailments , Xinhua said ."
29,"Under an emerging U.N. scheme called reduced emissions from deforestation and degradation , or REDD , developing nations could potentially earn billions dollars by setting aside and rehabilitating their forests ."
30,"The other two were killed action on Thursday ."
31,"One industry source said another idea being pushed by trade groups calls for the to spend $ 50 billion of its $ 700 billion financial rescue package to reduce the fees , or points , that home buyers pay when they want a lower rate for a mortgage ."
32,"The organisation wrote to UK airlines about the problem and said the response was positive ."
33,"Quack can be traced to the kwaksalver , literally someone who hawked ointments ."
34,"She was reported missing on the of Friday 18 December ."
35,"DOUBTFUL : Willie Parker ( toe ) ."
36,""" They 're as strong lions ."
37,"While the president says his plan will streamline regulation , some critics say it would be much more efficient to consolidate the alphabet soup of regulatory agencies - the Federal Reserve , FDIC SEC , and others - into one or two super-regulators ."
38,"As with all fixed fee flying , Allegiant Air is not exposed to fuel risk under this program. of approximately 30 % and ASM growth of approximately 35 % . -- Air expects to operate 46 aircraft by the end of 2009 ."
39,"In a recent report the city comptroller , William C. Thompson Jr , found it to be 44 percent over capacity ."
40,"One of the untold costs is of livestock due to rabies which affects substinance farmers greatly ."
41,"Tusk , 52 , has been Poland 's minister since November 2007 and was a strong supporter of the ratification of the EU 's Lisbon Treaty by Poland ."
42,""" While the U.S. economy does face serious headwinds from a weak housing market and high energy prices in addition to current credit market conditions , solid economic fundamentals should support continued growth , he said ."
43,"Further south , the mainly Sunni of Dora , which had until recently been among the city 's most dangerous areas , was separated from the highway by a wire fence ."
44,"The hotel industry may suffering , but you wouldn 't know it by looking at the lineup of new Westin Hotels ."
45,"2010 March - Ruling UMP suffers heavy defeat in regional elections , losing control of but one of the 22 regions in mainland France and Corsica ."
46,"ROWS of Lincoln Town Cars idling at the curbside , a scene socially suspect as the old X-rated Times Square , will soon begin disappearing from New York City streets ."
47,"Resolving the status of Jerusalem be tough , he said , and he called for the end of the "" occupation "" of Arab land by the Israeli military ."
48,"The expanded recall affects 2001-2 Accord , , Odyssey and CR-V models , and some 2002 Acura TLs ."
49,"Chancellor Darling is due to deliver one of the most anxiously-awaited Budgets of recent years as Britain battles recession ."
50,"July , usually the peak month for fighting , could well be the worse month yet for violence since U.S.-led and forces toppled the Taliban in 2001 ."
51,"Soon after , the Confectionery Company began production of candy corn in Cincinnati in 1898 ."
52,"Meredith Kercher 's relatives made their first comments since a jury in Perugia , Italy , announced early Saturday that they had convicted Knox and sentenced her to 26 in prison for the 2007 murder ."
53,"At the same time , Mr. Brooks suggested that it Mr. Frum 's decision to leave and that he had not been forced out ."
54,""" That 's pretty unprecedented in the of this council 's working ."
55,"The NHF chief , David Orr , has written to Ofgem demanding an investigation into whether firms have breached their licence conditions ."
56,"Still , at pivotal times , she has campaigned alongside daughter Chelsea and Dorothy Rodham , and invoked an us-versus-them pitch ."
57,"It seemed a safer choice than the absinthe-Buddha bitters cocktail ( and certainly less deadly than their allspice rum punch ) ."
58,"He did have one small consolation his predecessors though - at least Sandri isn 't a Pom ."
59,"Negotiations on the make-up of Germany 's new conservative coalition have been taking place a growing clamour for action on the nuclear industry ."
60,"The show is in association with Christian Aid , with the work reflecting the effect on children ."
61,"On Tuesday , police were given a further hours to continue questioning a woman on suspicion of murder ."
62,"Was there a better to sell health care reform ?"
63,"It is possible to a case for prohibition that might claim to navigate a middle passage between livestockism and libertarianism ."
64,"In Dhaka , police used clubs and water canon to disperse the violent who pelted chunks of bricks and small stones at police in retaliation ."
65,"The force of a missile hitting an orbiting object is much more violent than the force of a bullet striking a target , or even an anti-aircraft missile an airplane ."
66,"Overall Buzz strikes a good balance between the big news sites smaller sources ."
67,"The Houthis , who deny government charges that Iran supports , complain of religious , economic and social deprivation ."
68,"It is estimated that approximately adults in NI suffer from autism ."
69,"Time to break the ."
70,"And while Jimmie Johnson 's back-to-back NASCAR championships are no doubt impressive , there 's no drafting in golf as there is in stock car racing , no teamwork that could result in kind of "" Push From Heaven "" that determined the outcome of the Daytona 500 ."
71,""" I think it 's wrong to kill old ladies and gentlemen , she told BBC Radio 4 's Today programme ."
72,"The Women for Deeds event , at the Northern Virginia Community College campus in Annandale , the first of three this week at which Deeds will highlight Republican Robert F. McDonnell 's history on the issue ."
73,"Why are they adamant about the internet ."
74,"In all , China shipped about 1.3 million pounds ( 595,000 kilograms ) of jewelry abroad in 2008--a 15 percent decrease from the previous year , to the Hong Kong-based consulting firm Global Sources ."
75,"AWCC is now at the forefront of the country 's phone boom and is thought to have made Mr Bayat a billionaire ."
76,"JEM has been holding series of discussions with Sudan 's government in Qatar ."
77,"Nine law lords unanimously ruled that it was that individuals are not told the case against them ."
78,"The Ministry of Defence ( MoD ) Pte Laws was on the front line in Afghanistan within a year of finishing basic training , which was a "" tremendous undertaking . """
79,"It 't have made a difference , but it did ."
80,"Georgia 's pro-Western government is locked in a confrontation with Russia over two Georgian regions -- South Ossetia and Abkhazia -- which have rejected Tbilisi 's rule and are receiving support from ."
81,"Bill Dodge , who joined the Company in September 2008 , was most recently General Manager of Patagonia Footwear and has a unique blend of experience in the outdoor footwear and equipment markets , including past management roles at Salomon , Timberland and New Balance . In this new role as Vice President - Product Development , Bill will leverage the of the Outdoor Group and its world-class design , development , supplier and industry partnerships to drive market-leading footwear innovation and development for the Merrell , Patagonia Footwear and Chaco brands ."
82,"On the plus , SW19 still looks pretty as a peach ..."
